title,price_gbp,price_inr,rating,in_stock,category
Princess Between Worlds (Wide-Awake Princess #5),13.34,1407.37,5,True,Fantasy
"Pop Gun War, Volume 1: Gift",18.97,2001.3349999999998,1,True,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,3827.54,2,True,History
Patience,10.16,1071.88,3,True,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1628.9199999999998,4,True,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,5107.254999999999,1,True,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,4889.925,1,True,Self Help
On a Midnight Clear,14.07,1484.385,3,True,Add a comment
Obsidian (Lux #1),14.86,1567.73,2,True,Young Adult
My Paris Kitchen: Recipes and Stories,33.37,3520.535,2,True,Food and Drink
Masks and Shadows,56.4,5950.2,2,True,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,1479.11,4,True,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,4949.004999999999,2,True,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,4811.855,3,True,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2101.5600000000004,2,True,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,4231.605,1,True,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,5686.45,2,True,Add a comment
Join,35.67,3763.1850000000004,5,True,Science Fiction
In the Country We Love: My Family Divided,22.0,2321.0,4,True,Nonfiction
